Fe,Si,Al,B,P,Cu,Ag,Au,V,Cr,Zr,Nb,Mo,W,Pr,Gd,Annealing temperature (K),Annealing Time (s),Primary Crystallization Onset (K),Primary Crystallization Peak (K),Secondary Crystallization Peak (K),Ribbon Thickness (um),Total SiCAl,Total BP,Total Late Transition,Total Early Transition,Relative to Fe SiCAl,Relative to Fe BP,Relative to Fe Early,Relative to Fe Late,Relative to Late Early,Relative to Early SiCAl,Relative to Late SiCAl,Relative to Early BP,Relative to Late BP,Late Weighted Volume,Late Weighted Area,Late Weighted Mass,Late Mean Electrons,Early Weighted Volume,Early Weighted Area,Early Weighted Mass,Early Mean Electrons,Delta T0,Delta T1,Delta T2,Grain Diameter,Composition ID,Reference DOI
73.5,16.5,0,6,0,1,0,0,0,0,0,3,0,0,0,0,743,3600,,,,,16.5,6,1,3,0.224489796,0.081632653,0.040816327,0.013605442,3,5.5,16.5,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,12,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16,0,6,0,1,0,0,0,0,0,3,0,0,0,0,798,3600,,,,20,16,6,1,3,0.217687075,0.081632653,0.040816327,0.013605442,3,5.333333333,16,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,12,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16.5,0,6,0,1,0,0,0,0,0,3,0,0,0,0,798,3600,,,,,16.5,6,1,3,0.224489796,0.081632653,0.040816327,0.013605442,3,5.5,16.5,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,12,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16,0,6,0,1,0,0,0,0,0,3,0,0,0,0,848,3600,,,,20,16,6,1,3,0.217687075,0.081632653,0.040816327,0.013605442,3,5.333333333,16,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,12,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16.5,0,6,0,1,0,0,0,0,0,3,0,0,0,0,848,3600,,,,,16.5,6,1,3,0.224489796,0.081632653,0.040816327,0.013605442,3,5.5,16.5,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,12,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16,0,6,0,1,0,0,0,0,0,3,0,0,0,0,773,3600,,,,20,16,6,1,3,0.217687075,0.081632653,0.040816327,0.013605442,3,5.333333333,16,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,11,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16.5,0,6,0,1,0,0,0,0,0,3,0,0,0,0,773,3600,,,,,16.5,6,1,3,0.224489796,0.081632653,0.040816327,0.013605442,3,5.5,16.5,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,11,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16,0,6,0,1,0,0,0,0,0,3,0,0,0,0,823,3600,,,,20,16,6,1,3,0.217687075,0.081632653,0.040816327,0.013605442,3,5.333333333,16,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,11,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16.5,0,6,0,1,0,0,0,0,0,3,0,0,0,0,823,3600,,,,,16.5,6,1,3,0.224489796,0.081632653,0.040816327,0.013605442,3,5.5,16.5,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,11,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16,0,6,0,1,0,0,0,0,0,3,0,0,0,0,873,3600,,,,20,16,6,1,3,0.217687075,0.081632653,0.040816327,0.013605442,3,5.333333333,16,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,11,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16.5,0,6,0,1,0,0,0,0,0,3,0,0,0,0,873,3600,,,,,16.5,6,1,3,0.224489796,0.081632653,0.040816327,0.013605442,3,5.5,16.5,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,11,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
85,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,996,3600,,727,797,45,0,9,0,6,0,0.105882353,0.070588235,0,,0,,1.5,,0,0,0,0,48.28856707,13.26059096,183.84,6,,269,199,48,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
79,0,0,9,0,0,0,0,0,0,0,0,0,12,0,0,993,3600,,760,829,45,0,9,0,12,0,0.113924051,0.151898734,0,,0,,0.75,,0,0,0,0,48.28856707,13.26059096,183.84,6,,233,164,46,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
85,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,930,3600,,727,797,45,0,9,0,6,0,0.105882353,0.070588235,0,,0,,1.5,,0,0,0,0,48.28856707,13.26059096,183.84,6,,203,133,38,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
85,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,869,3600,,727,797,45,0,9,0,6,0,0.105882353,0.070588235,0,,0,,1.5,,0,0,0,0,48.28856707,13.26059096,183.84,6,,142,72,29,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
85,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,819,3600,,727,797,45,0,9,0,6,0,0.105882353,0.070588235,0,,0,,1.5,,0,0,0,0,48.28856707,13.26059096,183.84,6,,92,22,23,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
85,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,795,3600,,727,797,45,0,9,0,6,0,0.105882353,0.070588235,0,,0,,1.5,,0,0,0,0,48.28856707,13.26059096,183.84,6,,68,-2,20,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
85,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,457,3600,,727,797,45,0,9,0,6,0,0.105882353,0.070588235,0,,0,,1.5,,0,0,0,0,48.28856707,13.26059096,183.84,6,,-270,-340,19,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
85,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,499,3600,,727,797,45,0,9,0,6,0,0.105882353,0.070588235,0,,0,,1.5,,0,0,0,0,48.28856707,13.26059096,183.84,6,,-228,-298,19,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
85,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,587,3600,,727,797,45,0,9,0,6,0,0.105882353,0.070588235,0,,0,,1.5,,0,0,0,0,48.28856707,13.26059096,183.84,6,,-140,-210,19,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
85,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,655,3600,,727,797,45,0,9,0,6,0,0.105882353,0.070588235,0,,0,,1.5,,0,0,0,0,48.28856707,13.26059096,183.84,6,,-72,-142,19,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
85,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,747,3600,,727,797,45,0,9,0,6,0,0.105882353,0.070588235,0,,0,,1.5,,0,0,0,0,48.28856707,13.26059096,183.84,6,,20,-50,19,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
79,0,0,9,0,0,0,0,0,0,0,0,0,12,0,0,929,3600,,760,829,45,0,9,0,12,0,0.113924051,0.151898734,0,,0,,0.75,,0,0,0,0,48.28856707,13.26059096,183.84,6,,169,100,16,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
79,0,0,9,0,0,0,0,0,0,0,0,0,12,0,0,870,3600,,760,829,45,0,9,0,12,0,0.113924051,0.151898734,0,,0,,0.75,,0,0,0,0,48.28856707,13.26059096,183.84,6,,110,41,9,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
79,0,0,9,0,0,0,0,0,0,0,0,0,12,0,0,498,3600,,760,829,45,0,9,0,12,0,0.113924051,0.151898734,0,,0,,0.75,,0,0,0,0,48.28856707,13.26059096,183.84,6,,-262,-331,8,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
79,0,0,9,0,0,0,0,0,0,0,0,0,12,0,0,591,3600,,760,829,45,0,9,0,12,0,0.113924051,0.151898734,0,,0,,0.75,,0,0,0,0,48.28856707,13.26059096,183.84,6,,-169,-238,8,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
79,0,0,9,0,0,0,0,0,0,0,0,0,12,0,0,653,3600,,760,829,45,0,9,0,12,0,0.113924051,0.151898734,0,,0,,0.75,,0,0,0,0,48.28856707,13.26059096,183.84,6,,-107,-176,8,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
79,0,0,9,0,0,0,0,0,0,0,0,0,12,0,0,753,3600,,760,829,45,0,9,0,12,0,0.113924051,0.151898734,0,,0,,0.75,,0,0,0,0,48.28856707,13.26059096,183.84,6,,-7,-76,8,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
79,0,0,9,0,0,0,0,0,0,0,0,0,12,0,0,799,3600,,760,829,45,0,9,0,12,0,0.113924051,0.151898734,0,,0,,0.75,,0,0,0,0,48.28856707,13.26059096,183.84,6,,39,-30,8,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
79,0,0,9,0,0,0,0,0,0,0,0,0,12,0,0,827,3600,,760,829,45,0,9,0,12,0,0.113924051,0.151898734,0,,0,,0.75,,0,0,0,0,48.28856707,13.26059096,183.84,6,,67,-2,8,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
73.5,13.5,0,9,0,1,0,0,0,0,0,2,0,0,0,1,823,2700,,783,918,,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,63.0814274,15.74664768,114.354,4.333333333,,40,-95,19,1100100011,https://doi.org/10.1016/S0924-4247(03)00177-8
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,823,2700,,795,938,,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,28,-115,12,1100100011,https://doi.org/10.1016/S0924-4247(03)00177-8
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,783,1500,,795,938,,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,-12,-155,11,1100100011,https://doi.org/10.1016/S0924-4247(03)00177-8
73,15.8,0,7.2,0,1,0,0,0,0,0,3,0,0,0,0,1113,1800,,,,24,15.8,7.2,1,3,0.216438356,0.098630137,0.04109589,0.01369863,3,5.266666667,15.8,2.4,7.2,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,13.2,1100100011,https://doi.org/10.1023/A:1004852117700
73,15.8,0,7.2,0,1,0,0,0,0,0,3,0,0,0,0,1023,1800,,,,24,15.8,7.2,1,3,0.216438356,0.098630137,0.04109589,0.01369863,3,5.266666667,15.8,2.4,7.2,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,12.9,1100100011,https://doi.org/10.1023/A:1004852117700
73.6,15.8,0,7.2,0,1,0,0,0,0,0,2.4,0,0,0,0,1023,1800,,,,26,15.8,7.2,1,2.4,0.214673913,0.097826087,0.032608696,0.013586957,2.4,6.583333333,15.8,3,7.2,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,12.9,1100100011,https://doi.org/10.1023/A:1004852117700
73,15.8,0,7.2,0,1,0,0,0,0,0,3,0,0,0,0,973,1800,,,,24,15.8,7.2,1,3,0.216438356,0.098630137,0.04109589,0.01369863,3,5.266666667,15.8,2.4,7.2,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,12.8,1100100011,https://doi.org/10.1023/A:1004852117700
73.6,15.8,0,7.2,0,1,0,0,0,0,0,2.4,0,0,0,0,973,1800,,,,26,15.8,7.2,1,2.4,0.214673913,0.097826087,0.032608696,0.013586957,2.4,6.583333333,15.8,3,7.2,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,12.8,1100100011,https://doi.org/10.1023/A:1004852117700
73.6,15.8,0,7.2,0,1,0,0,0,0,0,2.4,0,0,0,0,813,1800,,,,26,15.8,7.2,1,2.4,0.214673913,0.097826087,0.032608696,0.013586957,2.4,6.583333333,15.8,3,7.2,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,8.3,1100100011,https://doi.org/10.1023/A:1004852117700
73,15.8,0,7.2,0,1,0,0,0,0,0,3,0,0,0,0,813,1800,,,,24,15.8,7.2,1,3,0.216438356,0.098630137,0.04109589,0.01369863,3,5.266666667,15.8,2.4,7.2,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,7.9,1100100011,https://doi.org/10.1023/A:1004852117700
73.6,15.8,0,7.2,0,1,0,0,0,0,0,2.4,0,0,0,0,773,1800,,,,26,15.8,7.2,1,2.4,0.214673913,0.097826087,0.032608696,0.013586957,2.4,6.583333333,15.8,3,7.2,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,7.3,1100100011,https://doi.org/10.1023/A:1004852117700
73,15.8,0,7.2,0,1,0,0,0,0,0,3,0,0,0,0,773,1800,,,,24,15.8,7.2,1,3,0.216438356,0.098630137,0.04109589,0.01369863,3,5.266666667,15.8,2.4,7.2,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,6.9,1100100011,https://doi.org/10.1023/A:1004852117700
73,15.8,0,7.2,0,1,0,0,0,0,0,3,0,0,0,0,753,1800,,,,24,15.8,7.2,1,3,0.216438356,0.098630137,0.04109589,0.01369863,3,5.266666667,15.8,2.4,7.2,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,3.4,1100100011,https://doi.org/10.1023/A:1004852117700
73.6,15.8,0,7.2,0,1,0,0,0,0,0,2.4,0,0,0,0,753,1800,,,,26,15.8,7.2,1,2.4,0.214673913,0.097826087,0.032608696,0.013586957,2.4,6.583333333,15.8,3,7.2,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,3.2,1100100011,https://doi.org/10.1023/A:1004852117700
73.6,15.8,0,7.2,0,1,0,0,0,0,0,2.4,0,0,0,0,723,1800,,,,26,15.8,7.2,1,2.4,0.214673913,0.097826087,0.032608696,0.013586957,2.4,6.583333333,15.8,3,7.2,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,2.9,1100100011,https://doi.org/10.1023/A:1004852117700
73,15.8,0,7.2,0,1,0,0,0,0,0,3,0,0,0,0,723,1800,,,,24,15.8,7.2,1,3,0.216438356,0.098630137,0.04109589,0.01369863,3,5.266666667,15.8,2.4,7.2,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,2.7,1100100011,https://doi.org/10.1023/A:1004852117700
73.6,15.8,0,7.2,0,1,0,0,0,0,0,2.4,0,0,0,0,693,1800,,,,26,15.8,7.2,1,2.4,0.214673913,0.097826087,0.032608696,0.013586957,2.4,6.583333333,15.8,3,7.2,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,2.2,1100100011,https://doi.org/10.1023/A:1004852117700
73,15.8,0,7.2,0,1,0,0,0,0,0,3,0,0,0,0,693,1800,,,,24,15.8,7.2,1,3,0.216438356,0.098630137,0.04109589,0.01369863,3,5.266666667,15.8,2.4,7.2,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,2,1100100011,https://doi.org/10.1023/A:1004852117700
71,0,0,21,0,1,0,0,0,0,7,0,0,0,0,0,823,3600,795.8282209,821.9631902,,,0,21,1,7,0,0.295774648,0.098591549,0.014084507,7,0,0,3,21,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,27.1717791,1.0368098,,6.138613861,1000100011,https://doi.org/10.1023/A:1011040419703
74,0,0,18,0,1,0,0,0,0,7,0,0,0,0,0,837,3600,809.8159509,836.8711656,,,0,18,1,7,0,0.243243243,0.094594595,0.013513514,7,0,0,2.571428571,18,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,27.1840491,0.1288344,,6.732673267,1000100011,https://doi.org/10.1023/A:1011040419703
86,0,0,6,0,1,0,0,0,0,7,0,0,0,0,0,811,3600,786.809816,810.9202454,,,0,6,1,7,0,0.069767442,0.081395349,0.011627907,7,0,0,0.857142857,6,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,24.190184,0.0797546,,20,1000100011,https://doi.org/10.1023/A:1011040419703
80,0,0,12,0,1,0,0,0,0,7,0,0,0,0,0,831,3600,808.8957055,830.797546,,,0,12,1,7,0,0.15,0.0875,0.0125,7,0,0,1.714285714,12,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,22.1042945,0.202454,,9.801980198,1000100011,https://doi.org/10.1023/A:1011040419703
91,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,973,3600,,,,,0,2,0,7,0,0.021978022,0.076923077,0,,0,,0.285714286,,0,0,0,0,58.71837826,15.10715557,91.224,4,,,,43.48643347,1000100001,https://doi.org/10.1023/A:1011040419703
82,0,0,10,0,1,0,0,0,0,7,0,0,0,0,0,825,3600,803.9263804,824.9079755,,,0,10,1,7,0,0.12195122,0.085365854,0.012195122,7,0,0,1.428571429,10,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,21.0736196,0.0920245,,20.1980198,1000100011,https://doi.org/10.1023/A:1011040419703
84,0,0,8,0,1,0,0,0,0,7,0,0,0,0,0,811,3600,788.8343558,811.1042945,,,0,8,1,7,0,0.095238095,0.083333333,0.011904762,7,0,0,1.142857143,8,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,22.1656442,-0.1042945,,19.6039604,1000100011,https://doi.org/10.1023/A:1011040419703
91,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,923,3600,,,,,0,2,0,7,0,0.021978022,0.076923077,0,,0,,0.285714286,,0,0,0,0,58.71837826,15.10715557,91.224,4,,,,18.42650104,1000100001,https://doi.org/10.1023/A:1011040419703
91,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,953,3600,,,,,0,2,0,7,0,0.021978022,0.076923077,0,,0,,0.285714286,,0,0,0,0,58.71837826,15.10715557,91.224,4,,,,17.36951073,1000100001,https://doi.org/10.1023/A:1011040419703
91,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,873,3600,,,,,0,2,0,7,0,0.021978022,0.076923077,0,,0,,0.285714286,,0,0,0,0,58.71837826,15.10715557,91.224,4,,,,16.69990193,1000100001,https://doi.org/10.1023/A:1011040419703
91,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,773,3600,,,,,0,2,0,7,0,0.021978022,0.076923077,0,,0,,0.285714286,,0,0,0,0,58.71837826,15.10715557,91.224,4,,,,16.34521085,1000100001,https://doi.org/10.1023/A:1011040419703
91,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,823,3600,,,,,0,2,0,7,0,0.021978022,0.076923077,0,,0,,0.285714286,,0,0,0,0,58.71837826,15.10715557,91.224,4,,,,15.9273183,1000100001,https://doi.org/10.1023/A:1011040419703
77,0,0,15,0,1,0,0,0,0,7,0,0,0,0,0,843,3600,821.0429448,842.7607362,,,0,15,1,7,0,0.194805195,0.090909091,0.012987013,7,0,0,2.142857143,15,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,21.9570552,0.2392638,,7.623762376,1000100011,https://doi.org/10.1023/A:1011040419703
69,0,0,23,0,1,0,0,0,0,7,0,0,0,0,0,808,3600,779.0797546,807.9754601,,,0,23,1,7,0,0.333333333,0.101449275,0.014492754,7,0,0,3.285714286,23,20.47747469,7.484870061,63.546,2,58.71837826,15.10715557,91.224,4,28.9202454,0.0245399,,6.732673267,1000100011,https://doi.org/10.1023/A:1011040419703
63.5,13.5,0,9,0,1,0,0,0,10,0,3,0,0,0,0,853,3600,,,,,13.5,9,1,13,0.212598425,0.141732283,0.204724409,0.015748031,13,1.038461538,13.5,0.692307692,9,20.47747469,7.484870061,63.546,2,35.66709741,10.76682093,61.4369,5.769230769,,,,16,1100100011,https://doi.org/10.1063/1.1485109
63.5,13.5,0,9,0,1,0,0,0,10,0,3,0,0,0,0,873,3600,,,,,13.5,9,1,13,0.212598425,0.141732283,0.204724409,0.015748031,13,1.038461538,13.5,0.692307692,9,20.47747469,7.484870061,63.546,2,35.66709741,10.76682093,61.4369,5.769230769,,,,15,1100100011,https://doi.org/10.1063/1.1485109
63.5,13.5,0,9,0,1,0,0,0,10,0,3,0,0,0,0,898,3600,,,,,13.5,9,1,13,0.212598425,0.141732283,0.204724409,0.015748031,13,1.038461538,13.5,0.692307692,9,20.47747469,7.484870061,63.546,2,35.66709741,10.76682093,61.4369,5.769230769,,,,38,1100100011,https://doi.org/10.1063/1.1485109
63.5,13.5,0,9,0,1,0,0,0,10,0,3,0,0,0,0,818,3600,,,,,13.5,9,1,13,0.212598425,0.141732283,0.204724409,0.015748031,13,1.038461538,13.5,0.692307692,9,20.47747469,7.484870061,63.546,2,35.66709741,10.76682093,61.4369,5.769230769,,,,4,1100100011,https://doi.org/10.1063/1.1485109
73.5,13.5,0,9,0,1,0,0,2,0,0,1,0,0,0,0,773,300,763,,,,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,39.77066975,11.59202563,64.9298,5,10,,,21,1100100011,https://doi.org/10.1088/0953-8984/12/37/308
73.5,13.5,0,9,0,1,0,0,2,0,0,1,0,0,0,0,753,300,763,,,,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,39.77066975,11.59202563,64.9298,5,-10,,,20,1100100011,https://doi.org/10.1088/0953-8984/12/37/308
73.5,13.5,0,9,0,1,0,0,0,0,0,1,2,0,0,0,798,300,772,,,,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,48.09427021,13.21988845,94.94,5.666666667,26,,,17,1100100011,https://doi.org/10.1088/0953-8984/12/37/308
73.5,13.5,0,9,0,1,0,0,0,0,0,1,2,0,0,0,738,3600,772,,,,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,48.09427021,13.21988845,94.94,5.666666667,-34,,,17,1100100011,https://doi.org/10.1088/0953-8984/12/37/308
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,798,300,791,,,,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,7,,,13,1100100011,https://doi.org/10.1088/0953-8984/12/37/308
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,753,3600,791,,,,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,-38,,,12,1100100011,https://doi.org/10.1088/0953-8984/12/37/308
73.5,13.5,0,9,0,1,0,0,0,0,2,1,0,0,0,0,823,300,797,,,,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,56.52546285,14.72362644,91.785,4.333333333,26,,,11,1100100011,https://doi.org/10.1088/0953-8984/12/37/308
73.5,13.5,0,9,0,1,0,0,0,0,2,1,0,0,0,0,773,3600,797,,,,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,56.52546285,14.72362644,91.785,4.333333333,-24,,,11,1100100011,https://doi.org/10.1088/0953-8984/12/37/308
80.5,0,0,12.5,0,0,0,0,0,0,0,7,0,0,0,0,783,3600,,793,,30,0,12.5,0,7,0,0.155279503,0.086956522,0,,0,,1.785714286,,0,0,0,0,52.13963205,13.95656817,92.90637,5,,-10,,12,1000100001,https://doi.org/10.1088/0953-8984/14/18/307
80.5,0,0,12.5,0,0,0,0,0,0,0,7,0,0,0,0,883,3600,,793,,30,0,12.5,0,7,0,0.155279503,0.086956522,0,,0,,1.785714286,,0,0,0,0,52.13963205,13.95656817,92.90637,5,,90,,18,1000100001,https://doi.org/10.1088/0953-8984/14/18/307
80.5,0,0,12.5,0,0,0,0,0,0,0,7,0,0,0,0,743,3600,,793,,30,0,12.5,0,7,0,0.155279503,0.086956522,0,,0,,1.785714286,,0,0,0,0,52.13963205,13.95656817,92.90637,5,,-50,,8,1000100001,https://doi.org/10.1088/0953-8984/14/18/307
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,773,3600,,,,30,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,8.5,1100100011,https://doi.org/10.1109/20.825825
73.5,16.5,0,6,0,1,0,0,0,0,0,3,0,0,0,0,803,3600,,,,30,16.5,6,1,3,0.224489796,0.081632653,0.040816327,0.013605442,3,5.5,16.5,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,8.5,1100100011,https://doi.org/10.1109/20.825825
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,793,3600,,,,30,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,8.5,1100100011,https://doi.org/10.1109/20.825825
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,923,3600,,,,22,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,14,1100100011,https://doi.org/10.1109/20.951133
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,898,3600,,,,22,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,13.4,1100100011,https://doi.org/10.1109/20.951133
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,873,3600,,,,22,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,12.8,1100100011,https://doi.org/10.1109/20.951133
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,848,3600,,,,22,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,12.4,1100100011,https://doi.org/10.1109/20.951133
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,796,3600,,,,22,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,11.5,1100100011,https://doi.org/10.1109/20.951133
