Fe,Si,C,B,Al,Ga,P,Ge,Cu,Ag,Au,Zn,Nb,Ta,Hf,V,W,Ti,Mo,Zr,,Tx1,Tx2,difference,,,,,,reference doi,,,,
83.725,0,0,14.775,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,,579,728,149,,,,,,10.1143/JJAP.46.L477,,,,
73.5,15.5,0,7,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,,824,999,175,,,,,,10.1016/S0921-4526(02)01741-6,,,,
73.5,15.5,0,6,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,,824,963,139,,,,,,10.1016/S0921-4526(02)01741-6,,,,
73.5,15.5,0,5,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,,823,924,101,,,,,,10.1016/S0921-4526(02)01741-6,,,,
73.5,15.5,0,4,0,0,3,0,1,0,0,0,3,0,0,0,0,0,0,0,,823,916,93,,,,,,10.1016/S0921-4526(02)01741-6,,,,
73.5,15.5,0,3,0,0,4,0,1,0,0,0,3,0,0,0,0,0,0,0,,830,895,65,,,,,,10.1016/S0921-4526(02)01741-6,,,,
75,13,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,,700,815,115,,,,,,10.1016/S0304-8853(01)00349-3,,,,
75.8,13,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.2,,710,830,120,,,,,,10.1016/S0304-8853(01)00349-3,,,,
75.3,13,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.7,,725,845,120,,,,,,10.1016/S0304-8853(01)00349-3,,,,
73.5,13.5,0,9,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,,769,905,136,,,,,,10.1063/1.352574,,,,
73.5,13.5,0,9,0.1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,,773,917,143,,,,,,10.1063/1.352574,,,,
73.5,13.5,0,9,0.5,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,,756,913,157,,,,,,10.1063/1.352574,,,,
73.5,13.5,0,9,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,,760,916,156,,,,,,10.1063/1.352574,,,,
73,11,0,9,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,,785,965,180,,,,,,10.1016/0921-5093(94)90259-3,,,,
81,4,0,9,0,0,2,0,1,0,0,0,0,0,0,3,0,0,0,0,,685,845,160,,,,,,https://doi.org/10.1016/j.jallcom.2014.10.202,,,,
81,4,0,10,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,,689,829,140,,,,,,https://doi.org/10.1016/j.jallcom.2014.10.202,,,,
81,4,0,11,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,,696,817,121,,,,,,https://doi.org/10.1016/j.jallcom.2014.10.202,,,,
81,0,0,10,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,,713,781,68,,,,,,https://www.nature.com/articles/s41598-018-19665-8,,,,
81,2,0,10,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,,685,801,115,,,,,,https://www.nature.com/articles/s41598-018-19665-8,,,,
