kNN,Linear Regression,Tree,Neural Network,Random Forest,SVM,LogPermeability,Composition ID,Reference DOI
continuous,continuous,continuous,continuous,continuous,continuous,continuous,string,string
,,,,,,class,meta,meta
11.4440207735,9.70882409537,11.127775275,10.2753398766,11.3892225342,9.93058533955,11.3681137569,1100100011,10.1016/j.jallcom.2006.12.133
11.6715423747,9.7957316935,11.4569068625,10.5421788676,11.5155974163,10.0586707902,11.4596809504,1100100011,10.1016/j.jallcom.2006.12.133
11.6715423747,9.90814429015,11.4569068625,10.7339333336,10.9646805125,10.1913545498,11.7410934097,1100100011,10.1016/j.jallcom.2006.12.133
11.6715423747,9.85193799183,11.4569068625,10.6060458769,11.5155974163,10.12501267,11.8138527641,1100100011,10.1016/j.jallcom.2006.12.133
9.9180048788,8.47914438485,10.1925523927,9.81092494661,9.36025827332,8.44821014469,9.68034400122,1100110010,10.1063/1.3058624
9.9180048788,8.5381848167,10.1925523927,9.79375270335,9.26436584955,8.51264376813,10.1266311039,1100110010,10.1063/1.3058624
9.39725970281,8.52029143175,9.39725970281,9.1931776183,9.33013228792,8.35033168539,9.21034037198,1100100001,10.1063/1.342149
10.8712178605,9.29777923576,10.9417093068,10.9367893221,10.9720930725,9.46462252642,10.8818136753,1100100011,10.1063/1.342149
10.9880278208,9.69475979628,11.4569068625,12.0964297845,11.0261292921,9.90513877542,11.2252433925,1100100011,10.1063/1.342149
11.1678388977,9.79088601003,11.4569068625,10.6094103095,11.1981651335,9.98304006441,11.512925465,1100100011,10.1063/1.342149
11.4363172575,10.4433191334,11.4569068625,11.6067842208,11.1981651335,10.7066435199,11.5424842672,1100100011,10.1063/1.342149
10.1250701212,8.72925278298,10.1925523927,10.7083363577,9.36025827332,8.70981587295,10.0858091093,1100110010,10.1063/1.3535169
10.1643311331,8.80174530942,10.1925523927,10.5751585917,9.36025827332,8.79628154684,10.203592145,1100110010,10.1063/1.3535169
5.0941793341,8.3120410354,5.30393673529,6.38276175335,5.30253741352,8.27489458388,3.69247548065,1100100001,10.1109/20.104389
3.88397121044,8.29928853615,3.97971907533,6.03942622736,4.48519262047,8.27259542941,3.72953903545,1100100001,10.1109/20.104389
4.59435961321,8.2865360369,3.97971907533,5.82267746829,4.33422824858,8.27029627493,4.22989911521,1100100001,10.1109/20.104389
4.35033558988,8.32479353466,4.67926564449,6.73753951313,5.59222647292,8.27719373836,4.67466453172,1100100001,10.1109/20.104389
4.35033558988,8.32479353466,4.67926564449,6.73753951313,5.59222647292,8.27719373836,4.68386675726,1100100001,10.1109/20.104389
6.04918005125,8.27378353764,6.10861941448,5.61435331216,5.98317377652,8.26799712046,5.82364068897,1100100001,10.1109/20.104389
6.04918005125,8.27378353764,6.10861941448,5.61435331216,5.98317377652,8.26799712046,5.85164312796,1100100001,10.1109/20.104389
5.98740710703,8.23552603988,6.10861941448,4.91431166559,6.05392811462,8.26109965703,6.28693750415,1100100001,10.1109/20.104389
7.18193447734,8.33754603391,6.42486128644,7.12516632189,6.77083286637,8.27949289283,6.39812876932,1100100001,10.1109/20.104389
7.18193447734,8.33754603391,6.42486128644,7.12516632189,6.77083286637,8.27949289283,6.45159380355,1100100001,10.1109/20.104389
6.04918005125,8.27378353764,6.10861941448,5.61435331216,5.98317377652,8.26799712046,6.47225633682,1100100001,10.1109/20.104389
6.6887604954,9.62471886122,5.87850954799,8.76509516716,6.64297906117,9.91519017267,6.56491561324,1100100011,10.1109/20.104389
10.1399197074,9.64639810995,9.70055249848,9.36625261182,10.5879125735,9.91909873528,8.39957091784,1100100011,10.1109/20.104389
9.36037881359,9.78667560174,9.31437140683,9.89037019675,9.47422257805,9.9443894345,8.5848897831,1100100011,10.1109/20.104389
7.18193447734,8.34774803331,8.86286772786,7.43601239002,8.05016290669,8.28133221641,8.69608085916,1100100001,10.1109/20.104389
8.05910975309,8.37580353167,8.86286772786,8.28317305726,8.77320353755,8.28639035626,9.02965459656,1100100001,10.1109/20.104389
9.42165209701,9.76117060323,9.84003325396,10.0063850506,9.85263728772,9.93979112555,9.93771650061,1100100011,10.1109/20.104389
11.0373174604,9.67190310846,11.4569068625,10.0734966643,11.2402759519,9.92369704423,10.2156945406,1100100011,10.1109/20.104389
11.046948787,9.61403439247,11.127775275,11.3393436217,11.0682401105,9.85269321865,10.225914605,1100100011,10.1109/20.104389
11.3996319733,9.71016060622,11.127775275,10.229223075,11.2402759519,9.93059450765,11.2349473564,1100100011,10.1109/20.104389
10.7165068866,9.73566560472,11.127775275,10.1223999044,11.1894079026,9.9351928166,11.2349473564,1100100011,10.1109/20.104389
11.0373174604,9.68465560771,11.4569068625,10.1921620769,11.2402759519,9.9259961987,11.3090748523,1100100011,10.1109/20.104389
11.3996319733,9.71016060622,11.127775275,10.229223075,11.2402759519,9.93059450765,11.3156291046,1100100011,10.1109/20.104389
10.9704060556,9.80279642762,11.127775275,11.0708163067,11.1981651335,9.9776090929,10.1363833953,1100100011,10.1109/20.42291
10.9704060556,9.80279642762,11.127775275,11.0708163067,11.1981651335,9.9776090929,10.4463215913,1100100011,10.1109/20.42291
10.9704060556,9.80279642762,11.127775275,11.0708163067,11.1981651335,9.9776090929,11.336471009,1100100011,10.1109/20.42291
10.2125153685,9.82853915185,10.547386448,9.75454900909,10.8797090462,9.93073130636,10.5050675396,1100100011,10.1109/TJMJ.1990.4564397
10.7114639793,9.84858681462,10.547386448,9.61432697012,10.8797090462,9.93086882791,10.652542365,1100100011,10.1109/TJMJ.1990.4564397
