Linear Regression,Neural Network,kNN,Random Forest,SVM,Tree,Magnetic Saturation,Composition ID,Reference DOI
1.284088135,1.227276736,1.24,1.23500024,1.305110154,1.255468039,1.24,1100100011,10.1109/20.42291
1.284088135,1.227276736,1.24,1.23500024,1.305110154,1.255468039,1.24,1100100011,10.1109/20.42291
1.190582275,1.208163741,1.249937739,1.231942428,1.213691359,1.167431409,1.1988,1100100011,10.1109/20.825825
1.137969971,1.17987678,1.123928986,1.176279312,1.161080941,1.167431409,1.2757,1100100011,10.1109/20.825825
1.17300415,1.197795064,1.249937739,1.231942428,1.196154553,1.167431409,1.2837,1100100011,10.1109/20.825825
1.691345215,1.693140206,1.57064719,1.824654759,1.653982604,1.845,1.84,1100110010,10.1109/TMAG.2011.2175210
1.671966553,1.63945798,1.57064719,1.795342955,1.622317793,1.845,1.85,1100110010,10.1109/TMAG.2011.2175210
1.038452148,1.43426699,1.195642145,1.175451863,1.055873075,1.155982257,1.23,1100100011,10.1109/TMAG.2011.2175210
1.534393311,1.754279848,1.729878049,1.703650809,1.538700402,1.729878049,1.672865854,1000100010,10.1143/JJAP.46.L477
1.709686279,1.844626916,1.790853658,1.779877411,1.714068461,1.805640244,1.776219512,1000100010,10.1143/JJAP.46.L477
1.569549561,1.77217817,1.729878049,1.740819781,1.573774014,1.729878049,1.761585366,1000100010,10.1143/JJAP.46.L477
1.604217529,1.790076491,1.762804878,1.740819781,1.608847625,1.729878049,1.755182927,1000100010,10.1143/JJAP.46.L477
1.639373779,1.807974813,1.783841463,1.757218234,1.643921237,1.805640244,1.771646341,1000100010,10.1143/JJAP.46.L477
1.546417236,1.520469606,1.793491645,1.807353239,1.539544806,1.805640244,1.85,1100100010,10.1143/JJAP.46.L477
1.674530029,1.825873134,1.790853658,1.781564835,1.678994849,1.805640244,1.824695122,1000100010,10.1143/JJAP.46.L477
1.472869873,1.48394712,1.793491645,1.7839035,1.459961205,1.770782585,1.8,1100100010,10.1143/JJAP.46.L477
1.139923096,1.16029928,1.181764592,1.163615232,1.115326072,1.182736959,1.157836668,1100100011,10.4028/www.scientific.net/JMNM.1.135
1.178619385,1.173731114,1.199740274,1.163615232,1.178655693,1.182736959,1.191067941,1100100011,10.4028/www.scientific.net/JMNM.1.135
1.164733887,1.145926028,1.181764592,1.205244026,1.137436946,1.16719582,1.196389168,1100100011,10.4028/www.scientific.net/JMNM.1.135
1.203460693,1.171365713,1.199740274,1.214033842,1.200766567,1.16719582,1.22815288,1100100011,10.4028/www.scientific.net/JMNM.1.135
1.222808838,1.186104534,1.117811794,1.227654008,1.232431377,1.167431409,1.24826585,1100100011,10.4028/www.scientific.net/JMNM.1.135
1.311187744,1.221453156,1.241114691,1.280988974,1.339982746,1.524742015,1.3554,1100100011,10.4028/www.scientific.net/JMNM.1.135
1.349243164,1.246929393,1.20804862,1.260305629,1.346500399,1.255468039,1.21,1100100011,doi:10.1016/j.jmmm.2010.05.025
1.378417969,1.26769624,1.22,1.260305629,1.367707893,1.255468039,1.21,1100100011,doi:10.1016/j.jmmm.2010.05.025
1.26171875,1.215851474,1.316975806,1.260305629,1.282877916,1.255468039,1.22,1100100011,doi:10.1016/j.jmmm.2010.05.025
1.442932129,1.326693767,1.223196728,1.247260786,1.416261273,1.255468039,1.24,1100100011,doi:10.1016/j.jmmm.2010.05.025
1.473022461,1.65218872,1.518646501,1.539457937,1.540036116,1.564831571,1.619895009,1000100011,http://iopscience.iop.org/article/10.1143/JJAP.30.L1729/meta
0.689422607,0.583099666,0.471251775,0.437127375,0.756140894,0.410190962,0.399634814,1000100011,http://iopscience.iop.org/article/10.1143/JJAP.30.L1729/meta
1.812469482,1.616337838,1.585986001,1.566297035,1.798958233,1.626857739,1.724330493,1000100011,http://iopscience.iop.org/article/10.1143/JJAP.30.L1729/meta
1.789733887,1.594636574,1.557126192,1.539294617,1.775353125,1.564831571,1.477579124,1000100011,http://iopscience.iop.org/article/10.1143/JJAP.30.L1729/meta
0.864715576,0.823951475,0.74200142,0.628075006,0.931508952,0.604171302,0.593373402,1000100011,http://iopscience.iop.org/article/10.1143/JJAP.30.L1729/meta
